song,artist,cluster
I Just Can't Stop Loving You (feat. Siedah Garrett) - 2012 Remaster,Michael Jackson,4
I Just Can't Stop Loving You (feat. Siedah Garrett) - 2012 Remaster,Siedah Garrett,4
Smooth Criminal - 2012 Remaster,Michael Jackson,6
Leave Me Alone - 2012 Remaster,Michael Jackson,1
Why You Wanna Trip on Me,Michael Jackson,1
In the Closet,Michael Jackson,5
Remember the Time,Michael Jackson,5
Heal the World,Michael Jackson,4
Black or White,Michael Jackson,6
Who Is It,Michael Jackson,1
Give In to Me,Michael Jackson,5
Will You Be There,Michael Jackson,4
Will You Be There,Cleveland Orchestra,4
Keep the Faith,Michael Jackson,1
Gone Too Soon,Michael Jackson,4
Dangerous,Michael Jackson,6
You Are Not Alone,Michael Jackson,4
The Impression That I Get,The Mighty Mighty Bosstones,7
The Rascal King,The Mighty Mighty Bosstones,1
Someday I Suppose,The Mighty Mighty Bosstones,6
Conga!,Miami Sound Machine,1
Can't Stay Away from You,Gloria Estefan,4
Can't Stay Away from You,Miami Sound Machine,4
Rhythm Is Gonna Get You,Gloria Estefan,5
Rhythm Is Gonna Get You,Miami Sound Machine,5
Anything for You,Gloria Estefan,4
Anything for You,Miami Sound Machine,4
Bad Boy,Miami Sound Machine,5
1-2-3,Gloria Estefan,6
1-2-3,Miami Sound Machine,6
Falling In Love (Uh-Oh),Miami Sound Machine,1
Words Get In the Way,Miami Sound Machine,4
You've Really Got A Hold On Me,The Miracles,1
Love Machine - Pt. 1,The Miracles,6
The Living Years,Mike + The Mechanics,4
Silent Running,Mike + The Mechanics,3
Tubular Bells - Pt. I,Mike Oldfield,7
Bluer Than Blue,Michael Johnson,4
"Für Elise, WoO 59",Ludwig van Beethoven,9
"Für Elise, WoO 59",Nelly Kokinos,9
I Melt with You,Modern English,1
Broken Wings,Mr. Mister,3
Kyrie - Single Version,Mr. Mister,1
Mannish Boy,Muddy Waters,2
Uprising,Muse,7
Starlight,Muse,7
Madness,Muse,7
In the Summertime,Mungo Jerry,1
Lady Rose,Mungo Jerry,6
One Night in Bangkok - Special Maxi Remix,Murray Head,5
Midnight at the Oasis,Maria Muldaur,1
Need You Now,Lady A,7
Are You Gonna Go My Way,Lenny Kravitz,5
Fly Away,Lenny Kravitz,2
It Ain't Over 'Til It's Over,Lenny Kravitz,6
Can't Fight The Moonlight,LeAnn Rimes,5
Tight Rope,Leon Russell,3
Mrs. Robinson - Remastered,The Lemonheads,5
"Foggy Mountain Breakdown - Theme From ""Bonnie & Clyde""",Lester Flatt,8
"Foggy Mountain Breakdown - Theme From ""Bonnie & Clyde""",Earl Scruggs,8
"Foggy Mountain Breakdown - Theme From ""Bonnie & Clyde""",The Foggy Mountain Boys,8
Goin' Out Of My Head/Can't Take My Eyes Off Of You - Medley / Live,The Lettermen,2
Too Late For Goodbyes,Julian Lennon,5
Numb,Linkin Park,2
Crawling,Linkin Park,2
Papercut,Linkin Park,2
One Step Closer,Linkin Park,6
In the End,Linkin Park,5
Somewhere I Belong,Linkin Park,7
Lying from You,Linkin Park,5
Faint,Linkin Park,1
Figure.09,Linkin Park,6
Breaking the Habit,Linkin Park,5
Numb,Linkin Park,2
Rollin' (Air Raid Vehicle),Limp Bizkit,1
Break Stuff,Limp Bizkit,6
Behind Blue Eyes,Limp Bizkit,4
Take A Look Around,Limp Bizkit,6
My Way,Limp Bizkit,2
Lightning Crashes,Live,4
I Alone,Live,7
All Over You,Live,7
Selling The Drama,Live,7
The Dolphin's Cry,Live,7
You And Me,Lifehouse,7
Hanging By A Moment,Lifehouse,1
Silver Threads And Golden Needles,Linda Ronstadt,6
Long Long Time,Linda Ronstadt,4
Desperado,Linda Ronstadt,4
It Doesn't Matter Anymore,Linda Ronstadt,4
Love Is a Rose,Linda Ronstadt,1
Tracks of My Tears,Linda Ronstadt,6
Heat Wave,Linda Ronstadt,5
It's so Easy,Linda Ronstadt,2
Blue Bayou,Linda Ronstadt,4
"Poor, Poor Pitiful Me",Linda Ronstadt,1
Tumbling Dice,Linda Ronstadt,1
Just One Look - 1999 Remaster,Linda Ronstadt,1
Ooh Baby Baby - 1999 Remaster,Linda Ronstadt,4
Hurt so Bad,Linda Ronstadt,3
Don't Know Much (with Aaron Neville),Linda Ronstadt,4
Don't Know Much (with Aaron Neville),Aaron Neville,4
All Night Long (All Night) - Single Version,Lionel Richie,1
"Say You, Say Me",Lionel Richie,4
Stuck On You,Lionel Richie,4
Hello,Lionel Richie,3
Truly,Lionel Richie,4
My Own Worst Enemy,Lit,1
Stay (I Missed You),Lisa Loeb,1
Goin' Out Of My Head,Little Anthony & The Imperials,4
I'm On The Outside (Looking In),Little Anthony & The Imperials,4
Hurt So Bad,Little Anthony & The Imperials,2
"Shimmy, Shimmy, Ko-Ko-Bop",Little Anthony & The Imperials,6
The Diary,Little Anthony & The Imperials,4
Trouble,Lindsey Buckingham,1
Cabaret,Liza Minnelli,4
All That Jazz,Liza Minnelli,2
Love Grows (Where My Rosemary Goes),Edison Lighthouse,6
Rag Mop,Lionel Hampton,1
I Will Follow Him,Peggy March,1
White Lines (Don't Do It) - Long Version,Grandmaster Flash,6
White Lines (Don't Do It) - Long Version,Grandmaster Melle Mel,6
Daddy's Home,Shep And The Limelites,4
The Boy from New York City,The Ad Libs,5
The King of Wishful Thinking,Go West,1
Man in the Box,Alice In Chains,6
Would? (2022 Remaster),Alice In Chains,7
Rooster (2022 Remaster),Alice In Chains,7
Them Bones (2022 Remaster),Alice In Chains,7
No Excuses,Alice In Chains,1
Down In A Hole (2022 Remaster),Alice In Chains,7
Heaven Beside You,Alice In Chains,5
I Stay Away,Alice In Chains,7
Daddy Don't You Walk So Fast,Wayne Newton,4
LEMONS - Demo,Brye,0
Nothing From Nothing,Billy Preston,5
Outa-Space,Billy Preston,1
With You I'm Born Again,Billy Preston,4
With You I'm Born Again,Syreeta,4
Rubber Ball,Bobby Vee,4
The Night Has A Thousand Eyes,Bobby Vee,3
Devil Or Angel,Bobby Vee,4
Run To Him,Bobby Vee,4
Come Back When You Grow Up,Bobby Vee,4
Tell Laura I Love Her,Ray Peterson,4
The Wonder of You,Ray Peterson,4
"Corinna, Corinna (Rerecorded)",Ray Peterson,4
Detroit City,Bobby Bare,4
Little Bitty Pretty One,Bobby Day,3
Over and Over,Bobby Day,1
I'm Sorry,Brenda Lee,4
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1
Hey Porter,Johnny Cash,1
Ballad Of A Teenage Queen,Johnny Cash,6
Big River,Johnny Cash,6
Oh Lonesome Me,Johnny Cash,6
Rock Island Line,Johnny Cash,0
I Walk The Line - 1988 Version,Johnny Cash,6
Folsom Prison Blues - 1988 Version,Johnny Cash,1
Sunday Morning Coming Down - 1988 Version,Johnny Cash,6
Five Feet High And Rising - 1988 Version,Johnny Cash,6
Sixteen Tons,Johnny Cash,4
Ballad Of A Teenage Queen,Johnny Cash,4
Ballad Of A Teenage Queen,Rosanne Cash,4
Ballad Of A Teenage Queen,The Everly Brothers,4
Ballad Of A Teenage Queen,Joey Miskulin,4
Ballad Of A Teenage Queen,Mark Howard,4
Ballad Of A Teenage Queen,David Ferguson,4
Ring Of Fire - 1988 Version,Johnny Cash,1
The Greatest Cowboy Of Them All,Johnny Cash,6
Don't Take Your Guns To Town - 1988 Version,Johnny Cash,6
Angel And The Badman,Johnny Cash,6
"Cry, Cry, Cry - 1988 Version",Johnny Cash,5
Wanted Man,Johnny Cash,6
Get Rhythm - 1988 Version,Johnny Cash,6
Guess Things Happen That Way - 1988 Version,Johnny Cash,6
Long Black Veil - 1988 Version,Johnny Cash,4
Ain't No Grave,Johnny Cash,3
Delia's Gone,Johnny Cash,4
Rusty Cage,Johnny Cash,1
The Man Comes Around,Johnny Cash,2
Give My Love To Rose,Johnny Cash,4
"Golliwogg's Cakewalk, No. 6",Claude Debussy,4
"Golliwogg's Cakewalk, No. 6",Isao Tomita,4
Hora Staccato,Grigoras Dinicu,9
Hora Staccato,Isao Tomita,9
Express Yourself,Charles Wright & The Watts 103rd Street Rhythm Band,6
Kryptonite,3 Doors Down,5
Here Without You,3 Doors Down,5
When I'm Gone,3 Doors Down,7
Be Like That,3 Doors Down,7
Loser,3 Doors Down,5
All Mixed Up,311,5
Beautiful Disaster,311,6
Love Song,311,5
Down,311,5
What's Up?,4 Non Blondes,1
"Aquarius/Let The Sunshine In (The Flesh Failures) - From the Musical ""Hair""",The 5th Dimension,7
Wedding Bell Blues - Laura Nyro Cover,The 5th Dimension,5
"Up, Up and Away",The 5th Dimension,3
(Last Night) I Didn't Get To Sleep At All,The 5th Dimension,3
One Less Bell To Answer,The 5th Dimension,3
Stoned Soul Picnic - Digitally Remastered 1997,The 5th Dimension,7
Sweet Blindness - Digitally Remastered 1997,The 5th Dimension,7
California Soul - Digitally Remastered 1997,The 5th Dimension,1
Workin' On A Groovy Thing - Digitally Remastered 1997,The 5th Dimension,5
Go Where You Wanna Go - The Mama's and The Papa's Cover,The 5th Dimension,6
Tell It Like It Is,Aaron Neville,3
Rolling in the Deep,Adele,6
Rumour Has It,Adele,5
Turning Tables,Adele,3
Don't You Remember,Adele,1
Set Fire to the Rain,Adele,5
Lovesong,Adele,3
Someone Like You,Adele,4
Take on Me,a-ha,5
Ironic - 2015 Remaster,Alanis Morissette,6
You Oughta Know - 2015 Remaster,Alanis Morissette,2
Hand in My Pocket - 2015 Remaster,Alanis Morissette,1
Head over Feet - 2015 Remaster,Alanis Morissette,1
You Learn - 2015 Remaster,Alanis Morissette,7
All I Really Want,Alanis Morissette,5
Perfect,Alanis Morissette,4
Right Through You,Alanis Morissette,6
Forgiven,Alanis Morissette,7
Mary Jane,Alanis Morissette,4
Not the Doctor,Alanis Morissette,5
Wake Up,Alanis Morissette,5
Let's Stay Together,Al Green,3
Tired of Being Alone,Al Green,6
How Can You Mend a Broken Heart,Al Green,7
Love and Happiness,Al Green,0
I'm Still in Love with You,Al Green,1
Jessica,Allman Brothers Band,8
Blue Sky,Allman Brothers Band,8
Melissa,Allman Brothers Band,4
Whipping Post,Allman Brothers Band,3
Smooth Criminal,Alien Ant Farm,5
Movies,Alien Ant Farm,6
Forever Young - 2019 Remaster,Alphaville,3
Big in Japan - 2019 Remaster,Alphaville,6
Mornin',Al Jarreau,1
After All,Al Jarreau,4
We're in This Love Together,Al Jarreau,2
Black Velvet,Alannah Myles,6
It Never Rains in Southern California,Albert Hammond,6
Spanish Eyes,Al Martino,1
Rehab,Amy Winehouse,1
"Baby, Baby",Amy Grant,1
Biggest Part of Me,Ambrosia,6
How Much I Feel,Ambrosia,1
You're the Only Woman - You & I,Ambrosia,5
Holdin' on to Yesterday,Ambrosia,5
Holdin' on to Yesterday,Alan Parsons,5
The Music Of The Night - From 'The Phantom Of The Opera' Motion Picture,Andrew Lloyd Webber,4
The Music Of The Night - From 'The Phantom Of The Opera' Motion Picture,Gerard Butler,4
Sweet Love,Anita Baker,5
"Moon River (From ""Breakfast at Tiffany's"")",Andy Williams,4
"Where Do I Begin - Love Theme from ""Love Story""",Andy Williams,4
A Summer Place,Andy Williams,3
"Love Is a Many-Splendored Thing - From the 20th Century-Fox Picture ""Love Is a Many-Splendored Thing""",Andy Williams,4
Can't Get Used to Losing You,Andy Williams,4
Call Me Irresponsible,Andy Williams,4
The Look of Love,Andy Williams,4
My Cherie Amour,Stevie Wonder,6
"Fingertips Pts. 1 & 2 - Live At The Regal Theater, Chicago/1962",Stevie Wonder,0
Uptight (Everything's Alright),Stevie Wonder,5
A Place In The Sun,Stevie Wonder,1
Hey Love,Stevie Wonder,4
I Was Made To Love Her,Stevie Wonder,5
For Once In My Life,Stevie Wonder,2
"Yester-Me, Yester-You, Yesterday",Stevie Wonder,6
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,5
We Can Work It Out - Remastered 2015,The Beatles,1
If You Really Love Me,Stevie Wonder,3
You Are The Sunshine Of My Life,Stevie Wonder,4
Superstition,Stevie Wonder,1
Living For The City,Stevie Wonder,7
Higher Ground,Stevie Wonder,6
Don't You Worry 'Bout A Thing,Stevie Wonder,6
Boogie On Reggae Woman,Stevie Wonder,5
You Haven't Done Nothin',Stevie Wonder,5
Isn't She Lovely,Stevie Wonder,5
Sir Duke,Stevie Wonder,6
I Wish,Stevie Wonder,5
Pastime Paradise,Stevie Wonder,3
Send One Your Love,Stevie Wonder,3
Master Blaster (Jammin'),Stevie Wonder,5
Superwoman (Where Were You When I Needed You),Stevie Wonder,3
That Girl,Stevie Wonder,6
Do I Do,Stevie Wonder,6
I Just Called To Say I Love You,Stevie Wonder,1
Part-Time Lover,Stevie Wonder,5
Overjoyed,Stevie Wonder,4
Respect,Aretha Franklin,1
I Never Loved a Man (The Way I Love You),Aretha Franklin,1
Right Place Wrong Time,Dr. John,1
Sharing The Night Together,Dr. Hook,3
When You're In Love With A Beautiful Woman,Dr. Hook,6
Sylvia's Mother,Dr. Hook,4
"The Cover of ""Rolling Stone""",Dr. Hook,6
Sexy Eyes - Single Version,Dr. Hook,5
A Little Bit More,Dr. Hook,4
Only Sixteen,Dr. Hook,4
Better Love Next Time,Dr. Hook,6
Walk Right In,Dr. Hook,1
Making Love And Music,Dr. Hook,5
If Not You,Dr. Hook,4
A Couple More Years,Dr. Hook,4
Third Rate Romance - Remastered,Amazing Rhythm Aces,6
Undercover Angel - Rerecorded Version,Alan O'Day,1
Sunshine (Go Away Today),Jonathan Edwards,6
Ain't No Sunshine,Bill Withers,3
Lean on Me,Bill Withers,4
Use Me,Bill Withers,5
Grandma's Hands,Bill Withers,3
Ring My Bell,Anita Ward,5
The Hustle - Original Mix,Van McCoy,1
Kung Fu Fighting,Carl Douglas,1
I Want You,Savage Garden,6
Carry On Dancing,Savage Garden,5
Santa Monica,Savage Garden,6
I Knew I Loved You,Savage Garden,6
Two Beds And A Coffee Machine,Savage Garden,4
I Miss You,Darren Hayes,7
Shattered (Turn The Car Around),O.A.R.,6
Drive,Incubus,5
Pardon Me,Incubus,5
Stellar,Incubus,6
Wish You Were Here,Incubus,7
Nice to Know You,Incubus,7
Popcorn,Hot Butter,8
Signs,Five Man Electrical Band,1
Nice to Be with You - Rerecorded Version,Gallery,6
I Believe in Music,Gallery,6
Spooky,Classics IV,3
Stormy,Classics IV,3
Traces,"Classics IV, Dennis Yost",3
Traces,Dennis Yost,3
Everyday With You Girl,"Classics IV, Dennis Yost",3
Everyday With You Girl,Dennis Yost,3
Sunny,"Classics IV, Dennis Yost",3
Sunny,Dennis Yost,3
You've Got Your Troubles - Remastered,The Fortunes,1
Here Comes That Rainy Day Feeling Again,The Fortunes,1
Everlasting Love,Love Affair,6
The Pied Piper,Crispian St. Peters,6
You Were on my Mind,Crispian St. Peters,4
Here Comes My Baby,The Tremeloes,6
Life in a Northern Town,The Dream Academy,2
Do You Love Me - Mono Single,The Contours,6
I Got a Name - Stereo Version,Jim Croce,4
Lover's Cross,Jim Croce,4
Five Short Minutes,Jim Croce,6
Workin' at the Car Wash Blues,Jim Croce,6
I'll Have To Say I Love You In A Song,Jim Croce,4
Salon and Saloon,Jim Croce,4
Top Hat Bar & Grille,Jim Croce,1
Recently,Jim Croce,4
The Hard Way Every Time,Jim Croce,4
Age,Jim Croce,4
Thursday,Jim Croce,1
One Less Set of Footsteps,Jim Croce,1
Roller Derby Queen,Jim Croce,1
Alabama Rain,Jim Croce,4
"Bad, Bad Leroy Brown",Jim Croce,6
It Doesn't Have to Be That Way,Jim Croce,4
Dreamin' Again,Jim Croce,4
You Don't Mess Around with Jim,Jim Croce,5
Tomorrow's Gonna Be a Brighter Day,Jim Croce,1
New York's Not My Home,Jim Croce,4
Hard Time Losin' Man,Jim Croce,6
Photographs & Memories,Jim Croce,4
Walkin' Back to Georgia,Jim Croce,3
Operator (That's Not the Way It Feels),Jim Croce,6
Time in a Bottle,Jim Croce,4
Rapid Roy (That Stock Car Boy),Jim Croce,5
Box #10,Jim Croce,1
These Dreams,Jim Croce,4
"Next Time, This Time",Jim Croce,4
Der Kommissar,After The Fire,6
No One,Alicia Keys,5
Shotgun,Jr. Walker & The All Stars,1
Sweet Pea,Amos Lee,6
Walking On Sunshine,Katrina & The Waves,6
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,4
Think,Aretha Franklin,6
Chain of Fools,Aretha Franklin,6
Day Dreaming,Aretha Franklin,3
Rock Steady,Aretha Franklin,6
Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,1
Freeway Of Love,Aretha Franklin,1
Who's Zoomin' Who?,Aretha Franklin,6
Sugar Sugar,The Archies,1
Do I Wanna Know?,Arctic Monkeys,1
All I Know,Art Garfunkel,4
Begin the Beguine,Artie Shaw,4
Sweet Soul Music,Arthur Conley,6
William Tell Overture,Gioachino Rossini,8
William Tell Overture,Arthur Fiedler,8
William Tell Overture,Boston Pops Orchestra,8
Picture Book - 2018 Stereo Remaster,The Kinks,1
The Hunting Song,Tom Lehrer,0
99,TOTO,3
Denise,Randy & The Rainbows,5
Elusive Butterfly - Remastered 2009,Bob Lind,1
White On White,Danny Williams,1
Close To Cathy,Mike Clifford,4
Queen Of The House,Jody Miller,1
Little Bit O' Soul - Remastered,Music Explosion,6
Don't Just Stand There,Patty Duke,4
Jean,Oliver,4
A Little Bit Of Soap,The Jarmels,5
He'll Have To Stay,Jeanne Black,4
"Sing, Sing, Sing",Benny Goodman,8
Let's Dance,Benny Goodman,8
Orinoco Flow,Enya,4
Only Time,Enya,9
I Awake,Sarah Blasko,4
The Last Farewell,Roger Whittaker,4
Sister Mary Elephant,Cheech & Chong,0
Basketball Jones,Cheech & Chong,2
Evelyn Woodhead Speed Reading Course,Cheech & Chong,0
Paradise,Coldplay,7
Viva La Vida,Coldplay,5
Fix You,Coldplay,7
Talk,Coldplay,3
Yellow,Coldplay,7
Speed of Sound,Coldplay,5
The Scientist,Coldplay,4
Clocks,Coldplay,3
Every Teardrop Is a Waterfall,Coldplay,7
Fallin' For You,Colbie Caillat,1
Realize,Colbie Caillat,1
Space Fantasy,Isao Tomita,9
Space Fantasy,Richard Strauss,9
Space Fantasy,Richard Wagner,9
"Clair de Lune, No. 3",Claude Debussy,9
"Clair de Lune, No. 3",Isao Tomita,9
Stay Awhile - Remastered,The Bells,4
"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins,5
Footloose,Kenny Loggins,7
This Is It,Kenny Loggins,5
"Whenever I Call You ""Friend"" (feat. Stevie Nicks)",Kenny Loggins,1
"Whenever I Call You ""Friend"" (feat. Stevie Nicks)",Stevie Nicks,1
"I'm Alright - Theme from ""Caddyshack""",Kenny Loggins,6
Return to Pooh Corner,Kenny Loggins,4
Heart to Heart,Kenny Loggins,1
Love's Been A Little Bit Hard On Me,Juice Newton,6
Break It To Me Gently,Brenda Lee,3
Goodbye Girl,David Gates,3
TSOP (The Sound of Philadelphia),The Three Degrees,5
"Sweet Cream Ladies, Forward March",The Box Tops,1
Rebel Rouser,Duane Eddy,2
Raunchy,Duane Eddy,8
Miserlou,Dick Dale,8
Soul Sacrifice,Santana,8
Sirius,The Alan Parsons Project,8
One of These Days,Pink Floyd,8
Electric Worm,Beastie Boys,8
How Bizarre,OMC,1
Your Woman,White Town,8
Counting Blue Cars (Tell Me Your Thoughts On God),Dishwalla,5
Steal My Sunshine,LEN,0
She's so High,Tal Bachman,7
I'll Be Seeing You,Willie Nelson,4
Seven Little Girls Sitting In the Back Seat,The Avons,6
Broken Things,Ryan Adams,4
At Home,Jon Bryant,4
As Girls Go,Suzanne Vega,6
Tammy,Debbie Reynolds,4
Rawhide,Frankie Laine,3
"Whatever Will Be, Will Be (Que Sera, Sera) (with Frank DeVol & His Orchestra)",Doris Day,2
"Whatever Will Be, Will Be (Que Sera, Sera) (with Frank DeVol & His Orchestra)",Frank DeVol & His Orchestra,2
"Bewitched, Bothered and Bewildered",Doris Day,4
"Bewitched, Bothered and Bewildered",John Rarig,4
"Bewitched, Bothered and Bewildered",The Mellomen,4
Fly Me to the Moon (In Other Words),Doris Day,4
Sentimental Journey (with Les Brown & His Orchestra),Doris Day,4
Sentimental Journey (with Les Brown & His Orchestra),Les Brown & His Orchestra,4
Durham Town,Roger Whittaker,4
New World in the Morning,Roger Whittaker,5
Summer days,Roger Whittaker,2
Fading Like A Flower (Every Time You Leave),Roxette,1
"I Was Born This Way - 12"" Vocal",Carl Bean,5
Getaway,The Salsoul Orchestra,8
It's OK - Live MHS Studios,Nightbirde,4
A Girl Like You,Edwyn Collins,5
Sugar Daddy,Chris Andrews,6
See the Funny Little Clown,Bobby Goldsboro,1
The Night They Drove Old Dixie Down,Joan Baez,4
Watching The Wheels - Remastered 2010,John Lennon,1
Point of Know Return,Kansas,6
Love Letters,Ketty Lester,3
King Porter Stomp,Teddy Wilson,8
Corazón,Carole King,1
Wildfire,Michael Martin Murphey,4
Mighty Quinn,Manfred Mann,6
How Can I Tell Her,Lobo,4
Me and You and a Dog Named Boo,Lobo,6
Don't Expect Me to Be Your Friend,Lobo,4
Love Me for What I Am,Lobo,6
Stoney - Re-Recorded In Stereo,Lobo,4
Rainy Night in Georgia - Rerecorded Version,Brook Benton,4
"Baby, You’ve Got What It Takes",Dinah Washington,2
"Baby, You’ve Got What It Takes",Brook Benton,2
You Make Me Feel at Home (The Context of Home),Blackwood Harvest,4
The Plastic Age,The Buggles,5
Video Killed The Radio Star,The Buggles,1
Kid Dynamo,The Buggles,8
I Love You (Miss Robot),The Buggles,8
"Clean, Clean",The Buggles,5
Elstree,The Buggles,8
Astroboy (And The Proles On Parade),The Buggles,8
Johnny On The Monorail,The Buggles,5
Walking the Dog,Jackie Shane,2
King Porter Stomp,Jelly Roll Morton,9
Maple Leaf Rag,Scott Joplin,8
Fingerbreaker,Jelly Roll Morton,9
Fingerbreaker,Morten Gunnar Larsen,9
Finger Buster,"Willie ""The Lion"" Smith",9
Finger Buster,Morten Gunnar Larsen,9
Raggin the Rag,Eubie Blake,9
Charleston Rag,Eubie Blake,2
Eubie's Boogie,Eubie Blake,9
Tricky Fingers,Eubie Blake,4
You're My World,Cilla Black,4
Hooked On A Feeling,Blue Swede,6
Hooked On A Feeling,Björn Skifs,6
Forever In Blue Jeans,Neil Diamond,6
If I Could Be Where You Are,Enya,4
Ringo,Lorne Greene,0
Nobody But Me,The Human Beinz,1
Mother in Law,Ernie K Doe,3
Lies,The Knickerbockers,5
Green Tambourine,The Lemon Pipers,6
What You Need,INXS,6
New Sensation,INXS,6
The One Thing,INXS,7
Mystify,INXS,5
"Suicide Blonde - 7"" Mix",INXS,1
Devil Inside - Australian Single Edit,INXS,8
Need You Tonight - Single Edit,INXS,5
Never Tear Us Apart,INXS,1
Unstoppable,Sia,7
Get Down On It,Kool & The Gang,5
Jungle Boogie,Kool & The Gang,6
Ladies Night - Single Version,Kool & The Gang,6
Hollywood Swinging,Kool & The Gang,5
Too Hot,Kool & The Gang,3
Joanna - Single Version,Kool & The Gang,6
Cherish - Single Version,Kool & The Gang,1
Laughter In The Rain,Neil Sedaka,1
Crosstown Traffic,Jimi Hendrix,5
Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,3
Wuthering Heights,Kate Bush,4
"Sugar, We're Goin Down",Fall Out Boy,7
Summertime Blues,Blue Cheer,3
Cult of Personality,Living Colour,2
Victoria's Secret,Jax,6
Like My Father,Jax,4
Children,Robert Miles,8
Makin' Memories,Melissa Carper,4
Fashion,David Bowie,1
Carolina Day,Livingston Taylor,4
Rollin' With The Flow,Charlie Rich,1
Shakin' It Loose,REO Speedwagon,6
Someone Tonight,REO Speedwagon,6
Leaving on a Jet Plane,John Denver,4
Rhymes and Reasons,John Denver,4
"Take Me Home, Country Roads",John Denver,4
"Poems, Prayers and Promises",John Denver,4
I Guess He'd Rather Be in Colorado,John Denver,4
Friends with You,John Denver,4
Rocky Mountain High,John Denver,2
Goodbye Again,John Denver,4
I'd Rather Be a Cowboy (Lady's Chains),John Denver,7
Farewell Andromeda (Welcome to My Morning),John Denver,4
"Sunshine on My Shoulders - ""Greatest Hits"" Version",John Denver,4
Back Home Again,John Denver,4
Matthew,John Denver,4
Thank God I'm a Country Boy - Live,John Denver,2
Annie's Song,John Denver,4
Sweet Surrender,John Denver,4
Looking for Space,John Denver,4
I'm Sorry,John Denver,4
Calypso,John Denver,4
Fly Away,John Denver,4
"Baby, You Look Good to Me Tonight",John Denver,4
Like A Sad Song,John Denver,4
How Can I Leave You Again,John Denver,4
It Amazes Me,John Denver,4
I Want to Live,John Denver,4
My Sweet Lady,John Denver,4
Autograph,John Denver,4
Some Days Are Diamonds (Some Days Are Stone),John Denver,4
The Cowboy and the Lady,John Denver,4
Seasons of the Heart,John Denver,4
Shanghai Breezes,John Denver,4
Perhaps Love,John Denver,4
Wild Montana Skies (with Emmylou Harris),John Denver,4
Wild Montana Skies (with Emmylou Harris),Emmylou Harris,4
Love Again,John Denver,4
Dreamland Express,John Denver,4
Is It Love? - Live 1995,John Denver,2
Be Good to Yourself,Journey,7
When You Love a Woman,Journey,7
Stone in Love - GH 2 Version,Journey,2
After the Fall - GH 2 Version,Journey,5
Chain Reaction - GH 2 Version,Journey,2
The Party's Over (Hopelessly in Love) - GH 2 Version,Journey,2
Escape - GH 2 Version,Journey,7
Still They Ride - GH 2 Version,Journey,7
Good Morning Girl - GH 2 Version,Journey,4
Stay Awhile - GH 2 Version,Journey,7
Suzanne - GH 2 Version,Journey,6
Feeling That Way - GH 2 Version,Journey,7
Anytime - GH 2 Version,Journey,7
Walks Like a Lady - GH 2 Version,Journey,1
Little Girl - GH 2 Version,Journey,7
Just the Same Way - GH 2 Version,Journey,6
Patiently - GH 2 Version,Journey,7
When I Think of You - GH 2 Version,Journey,4
"Mother, Father - Live GH 2 Version",Journey,7
I Bought Myself a Politician,Monalisa Twins,5
Close to You,Monalisa Twins,6
Don't Let Me Be Misunderstood,Elvis Costello,5
Rumble,Link Wray & The Wraymen,2
Head to Toe,Lisa Lisa & Cult Jam,5
Walk The Dinosaur,Was (Not Was),1
Sunglasses At Night,Corey Hart,5
They Don't Know,Tracey Ullman,1
Pillow Talk,Sylvia,1
Life Is a Rock (But the Radio Rolled Me),Reunion,6
Judy in Disguise (with Glasses),John Fred and His Playboy Band,6
How Do You Do?,Mouth & MacNeal,2
Sky High,Jigsaw,5
We'll Sing in the Sunshine,Gale Garnett,4
Venus in Blue Jeans,Jimmy Clanton,1
You Got It All,The Jets,3
Somebody That I Used To Know,Gotye,1
Somebody That I Used To Know,Kimbra,1
Pop Muzik,M,1
Pop Muzik,Robin Scott,1
Groove Is in the Heart,Deee-Lite,5
Obsession,Animotion,2
Don't Dream It's Over,Sixpence None The Richer,1
I Can Help,Billy Swan,1
Lover Please,Clyde McPhatter,0
You Were On My Mind,Jay & The Americans,1
Mr. Big Stuff,Jean Knight,6
The Breakup Song,The Greg Kihn Band,5
Jeopardy,The Greg Kihn Band,1
Thank You,Dido,5
Superman (It's Not Easy),Five For Fighting,4
Crash,The Primitives,2
What Becomes Of The Brokenhearted,Jimmy Ruffin,3
"Tighter, Tighter",Alive 'N Kickin',5
Lunatic Fringe,Red Rider,4
Run Runaway,Slade,1
Hey Little Girl,Dee Clark,6
It's OK,Nightbirde,1
Comedy,Gen Hoshino,5
Ghost (Acoustic),Ben Woodward,4
To Begin Again,Ingrid Michaelson;ZAYN,4
Crazy Rich Asians (Original Motion Picture Soundtrack),Kina Grannis,4
Hold On,Chord Overstreet,4
Days I Will Remember,Tyrone Wells,6
Is There Anybody Out There?,A Great Big World;Christina Aguilera,4
We Sing. We Dance. We Steal Things.,Jason Mraz,6
We Sing. We Dance. We Steal Things.,Jason Mraz;Colbie Caillat,1
Hunger,Ross Copperman,4
Episode,Zack Tabudlo,4
Love Is a Four Letter Word,Jason Mraz,4
