song,artist,cluster
I Saw Her Standing There - Remastered 2009,The Beatles,1
Chains - Remastered 2009,The Beatles,6
Please Please Me - Remastered 2009,The Beatles,1
Love Me Do - Remastered 2009,The Beatles,1
P.S. I Love You - Remastered 2009,The Beatles,1
There's A Place - Remastered 2009,The Beatles,1
Twist And Shout - Remastered 2009,The Beatles,1
Do You Want To Know A Secret - Remastered 2009,The Beatles,4
It's Going To Take Some Time,Carpenters,4
Jambalaya (On The Bayou),Carpenters,6
Touch Me When We're Dancing,Carpenters,7
Solitaire,Carpenters,7
We've Only Just Begun,Carpenters,4
Only Yesterday,Carpenters,7
Sing,Carpenters,4
Calling Occupants Of Interplanetary Craft (The Recognized Anthem Of World Contact Day),Carpenters,7
I Believe You,Carpenters,4
B'wana She No Home,Carpenters,5
All You Get From Love Is A Love Song,Carpenters,6
I Just Fall In Love Again,Carpenters,4
On The Balcony Of The Casa Rosada/Don't Cry For Me Argentina,Carpenters,4
"Sweet, Sweet Smile",Carpenters,1
Two Sides,Carpenters,4
Man Smart Woman Smarter,Carpenters,6
There's A Kind Of Hush,Carpenters,1
You,Carpenters,4
Sandy,Carpenters,4
Goofus,Carpenters,1
Can't Smile Without You,Carpenters,4
I Need To Be In Love,Carpenters,4
One More Time,Carpenters,4
Boat To Sail,Carpenters,4
I Have You,Carpenters,4
Only Yesterday,Carpenters,7
Please Mr. Postman,Carpenters,6
Eventide,Carpenters,4
Top Of The World - Single Mix,Carpenters,4
Rainy Days And Mondays - Single Version,Carpenters,3
Yesterday Once More,Carpenters,4
For All We Know,Carpenters,4
(They Long To Be) Close To You,Carpenters,4
Heather,Carpenters,9
"Fun, Fun, Fun",Carpenters,1
Da Doo Ron Ron,Carpenters,2
Johnny Angel,Carpenters,4
The Night Has A Thousand Eyes,Carpenters,3
Our Day Will Come,Carpenters,4
One Fine Day,Carpenters,4
A Song For You,Carpenters,4
Hurting Each Other,Carpenters,4
Goodbye To Love,Carpenters,4
Intermission (Carpenters/A Song For You),Carpenters,4
Bless The Beasts And Children,Carpenters,4
Flat Baroque,Carpenters,9
Piano Picker,Carpenters,3
I Won't Last A Day Without You,Carpenters,4
Crystal Lullaby,Carpenters,4
Road Ode,Carpenters,3
Saturday,Carpenters,6
Let Me Be The One,Carpenters,3
(A Place To) Hide Away,Carpenters,4
Superstar,Carpenters,4
Druscilla Penny,Carpenters,2
One Love,Carpenters,4
Bacharach/David Medley: Knowing When To Leave/Make It Easy On Yourself/There's Always Something There To Remind Me/I'll Never Fall In Love Again/Walk On By/Do You Know The Way To San Jose,Carpenters,4
Sometimes,Carpenters,4
Love Is Surrender,Carpenters,6
Maybe It's You,Carpenters,4
Reason To Believe,Carpenters,4
Help,Carpenters,1
Baby It's You,Carpenters,3
I'll Never Fall In Love Again,Carpenters,4
Crescent Noon,Carpenters,3
Mr. Guder,Carpenters,3
I Kept On Loving You,Carpenters,6
Another Song,Carpenters,3
Ticket To Ride,Carpenters,4
Sweet City Woman,Stampeders,6
Born To Be Wild - Single Version,Steppenwolf,7
Magic Carpet Ride,Steppenwolf,5
The Pusher,Steppenwolf,1
I'm Easy,Keith Carradine,4
Shine a Little Love,Electric Light Orchestra,6
Confusion,Electric Light Orchestra,1
Need Her Love,Electric Light Orchestra,4
The Diary of Horace Wimp,Electric Light Orchestra,2
Last Train to London,Electric Light Orchestra,6
Midnight Blue,Electric Light Orchestra,4
Don't Bring Me Down,Electric Light Orchestra,1
Mr. Blue Sky,Electric Light Orchestra,4
Tightrope,Electric Light Orchestra,3
Telephone Line,Electric Light Orchestra,4
Rockaria!,Electric Light Orchestra,1
Mission (A World Record),Electric Light Orchestra,4
So Fine,Electric Light Orchestra,6
Livin' Thing,Electric Light Orchestra,1
Above the Clouds,Electric Light Orchestra,3
Do Ya,Electric Light Orchestra,2
Shangri-La,Electric Light Orchestra,4
Fire On High,Electric Light Orchestra,8
Evil Woman,Electric Light Orchestra,5
Strange Magic,Electric Light Orchestra,3
Can't Get It out of My Head,Electric Light Orchestra,4
Turn to Stone,Electric Light Orchestra,5
It's Over,Electric Light Orchestra,3
Sweet Talkin' Woman,Electric Light Orchestra,1
Mr. Roboto,Styx,1
A.D. 1928,Styx,3
Rockin' The Paradise,Styx,6
Too Much Time On My Hands,Styx,5
Nothing Ever Goes As Planned,Styx,5
The Best Of Times,Styx,4
Lonely People,Styx,2
Snowblind,Styx,3
A.D. 1958,Styx,3
Lights,Styx,4
Babe,Styx,4
Borrowed Time,Styx,7
Blue Collar Man (Long Nights),Styx,5
